方式,買い目,オッズ,オッズ（US）,購入金額
三連単,6-8-1,166.2,165.2,100
三連単,6-8-4,289.9,288.9,100
三連単,6-8-5,77.4,76.4,100
三連単,6-8-10,94.5,93.5,100
三連単,6-8-12,95.2,94.2,100
三連単,6-8-18,281.3,280.3,100
三連単,8-6-1,130.5,129.5,100
三連単,8-6-4,256.7,255.7,100
三連単,8-6-5,55.1,54.1,100
三連単,8-6-10,69.1,68.1,100
三連単,8-6-12,73.9,72.9,100
三連単,8-6-18,247.9,246.9,100
三連複,6-8-1,39.1,38.1,100
三連複,6-8-4,88.3,87.3,100
三連複,6-8-5,20.2,19.2,100
三連複,6-8-10,25.2,24.2,100
三連複,6-8-12,22.6,21.6,100
三連複,6-8-18,93.7,92.7,100
ワイド,6-1,15.8,14.8,100
ワイド,6-4,33.8,32.8,100
ワイド,6-5,10.7,9.7,100
ワイド,6-8,4.0,3.0,100
ワイド,6-10,12.0,11.0,100
ワイド,6-12,8.8,7.8,100
ワイド,6-18,31.0,30.0,100
